label,summary,reason
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0xcf28e9b8 creating contracts. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as ETH amount: 39.45($61077);USDC amount: -1.5e-11 from other public contracts losing -61454 USD. Transaction has suspicious flash loan usage. There are repeated calls indicating reentrancy attack. The summary of calls and events of important addresses: 0xcf28e9b8 called: {'fallback': 1}; 0x842f3a53 called: {'1b9ebcd1': 1, 'receiveFlashLoan': 1, 'fallback': 6, 'f6fcb928': 1}; 0x3d18ad73 called: {'getCurrentRingIndex': 5, 'deposit': 5, 'getRingHash': 5, 'swapOnWithdrawal': 5}, emitting events: {'Deposit': 5, 'Withdraw': 5, 'Swap': 5}; 0xb4e16d01 called: {'getReserves': 6, 'swap': 6}, emitting events: {'Sync': 6, 'Swap': 6}; 0xc02aaa39 called: {'balanceOf': 8, 'transfer': 8, 'withdraw': 2, 'deposit': 6}, emitting events: {'Transfer': 8, 'Withdrawal': 2, 'Deposit': 6};","The receiveFlashLoan of 0x842f3a53 as a customized contract is called and leads to multiple deposit and withdraw, indicating that this is an attack."
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0xb90cf1d7 to receiver 0x91c49cc7. The receiver contract is created by sender. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as ETH amount: 178.2($465261);stETH amount: -5.7e-14;PLP-stETH-Dec2025 amount: 1.1e-13;WETH amount: -1.4e-14 from other public contracts losing -465261 USD. Transaction has suspicious flash loan usage. There are repeated calls indicating reentrancy attack. The summary of calls and events of important addresses: 0x91c49cc7 called: {'0826c023': 1, 'executeOperation': 1, 'fallback': 2, 'uniswapV3SwapCallback': 3}; 0x37e49bf3 called: {'getPositionLendingShares': 18, 'withdrawExactShares': 1, '4969b6c1': 60, 'positionLocked': 60, 'e65bcf98': 66, 'getPositionBorrowTokenLength': 60, 'lendingPoolData': 77, 'depositExactAmount': 48, 'withdrawExactAmount': 48, 'getTotalPool': 22, 'borrowExactAmount': 11, 'borrowPoolData': 11, 'getPositionLendingTokenLength': 17, 'getPositionLendingTokenByIndex': 17, 'getPureCollateralAmount': 17, 'cashoutAmount': 17, 'getPositionBorrowTokenByIndex': 22, 'getPositionBorrowShares': 22, 'paybackAmount': 22};","The receiver 0xd9960730 as a customized contract is called and leads to repeated function calling, indicating that this is an attack."
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0xb0380b6d to receiver 0xa4854022. The receiver contract is created by sender. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as ETH amount: 14.07($41315) from other public contracts losing -41315 USD. Transaction has suspicious flash loan usage. There are repeated calls indicating reentrancy attack. The summary of calls and events of important addresses: 0xa4854022 called: {'a28a15e8': 1, 'receiveFlashLoan': 1, 'fallback': 12}; 0xb0380b6d called: {'fallback': 2}; 0x06ba6614 called: {'fallback': 1}; 0x2e03b618 called: {'fallback': 1}; 0x2ec6f9b3 called: {'fallback': 1}; 0x86f6e3a1 called: {'fallback': 1}; 0xc362a2ba called: {'fallback': 1}; 0x9700204d called: {'72c4cff6': 5}; 0xc02aaa39 called: {'balanceOf': 19, 'transfer': 12, 'withdraw': 7, 'deposit': 6}, emitting events: {'Transfer': 12, 'Withdrawal': 7, 'Deposit': 6}; 0xc2c70111 called: {'getReserves': 15, 'swap': 10, 'token0': 5}, emitting events: {'Sync': 10, 'Swap': 10};","The receiveFlashLoan of 0xa4854022 as a customized contract is called and leads to multiple deposit and withdraw, indicating that this is an attack."
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x7e39e3b3 to receiver 0xd9960730. The receiver contract is created by sender. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as wstETH amount: 22.82($84172);mkUSD amount: -1.8($-2) from other public contracts losing -84171 USD. Transaction has suspicious flash loan usage. The summary of calls and events of important addresses: 0xd9960730 called: {'82be0b96': 1, 'receiveFlashLoan': 1}; 0x1cc79f3f called: {'collateralToken': 2, 'getTroveCollAndDebt': 1, 'getEntireSystemBalances': 6, 'applyPendingRewards': 3, 'closeTrove': 3, 'decayBaseRateAndGetBorrowingFee': 3, 'MCR': 3, 'openTrove': 3, 'getNominalICR': 110}, emitting events: {'TroveIndexUpdated': 3, 'CollateralSent': 3, 'TroveUpdated': 6, 'BaseRateUpdated': 3, 'LastFeeOpTimeUpdated': 1, 'TroveSnapshotsUpdated': 3, 'TotalStakesUpdated': 3}; 0xcc721810 called: {'onFlashLoan': 2};","The receiveFlashLoan of 0xd9960730 as a customized contract is called and leads to repeated function calling, indicating that this is an attack."
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x7c9fc6e2 to receiver 0x1b8a9f9f. The receiver contract is created by sender. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as wstETH amount: 52.45($192081);mkUSD amount: -1.8($-2) from other public contracts losing -192079 USD. Transaction has suspicious flash loan usage. The summary of calls and events of important addresses: 0x1b8a9f9f called: {'82be0b96': 1, 'receiveFlashLoan': 1}; 0x1cc79f3f called: {'collateralToken': 2, 'getTroveCollAndDebt': 1, 'getEntireSystemBalances': 6, 'applyPendingRewards': 3, 'closeTrove': 3, 'decayBaseRateAndGetBorrowingFee': 3, 'MCR': 3, 'openTrove': 3, 'getNominalICR': 57}, emitting events: {'TroveIndexUpdated': 3, 'CollateralSent': 3, 'TroveUpdated': 6, 'BaseRateUpdated': 3, 'TroveSnapshotsUpdated': 3, 'TotalStakesUpdated': 3}; 0xcc721810 called: {'onFlashLoan': 2};","The receiveFlashLoan of 0x1b8a9f9f as a customized contract is called and leads to repeated function calling, indicating that this is an attack."
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0xbb58c156 to receiver 0x88742751 with 0.05 ETH as 156 USD. The receiver contract is created by sender. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as ETH amount: -0.05($-156);NOBL amount: 760599.64($3297) from other public contracts losing -3587 USD. The summary of calls and events of important addresses: 0x88742751 called: {'cbfaa394': 1}; 0x88b9f5c6 called: {'transfer': 21, 'balanceOf': 125, 'approve': 41, 'transferFrom': 42, 'fallback': 1, 'allowance': 21}, emitting events: {'Transfer': 64, 'Approval': 85}; 0xbc452fdc called: {'createLockedCampaign': 20, 'cancelCampaign': 20}, emitting events: {'CampaignCancelled': 20}; 0xc02aaa39 called: {'fallback': 1, 'approve': 1, 'transferFrom': 1, 'balanceOf': 4, 'transfer': 2, 'withdraw': 1, 'deposit': 1}, emitting events: {'Deposit': 2, 'Approval': 1, 'Transfer': 3, 'Withdrawal': 1}; 0xc98936de called: {'getReserves': 3, 'swap': 2, 'mint': 1}, emitting events: {'Sync': 3, 'Swap': 2, 'Transfer': 1, 'Mint': 1};","The frequently repeated function calling of same contract and high profit from contracts, indicating that this is an attack."
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x7fe83f45 to receiver 0x4148310f. The receiver contract is created by sender. Sender has profit from public contracts. Its summary of balance change: sender and his contract collect high value tokens as wstETH amount: 22.07($80806);mkUSD amount: -1.8($-2) from other public contracts losing -80804 USD. Transaction has suspicious flash loan usage. The summary of calls and events of important addresses: 0x4148310f called: {'82be0b96': 1, 'receiveFlashLoan': 1}; 0x1cc79f3f called: {'collateralToken': 2, 'getTroveCollAndDebt': 1, 'getEntireSystemBalances': 6, 'applyPendingRewards': 3, 'closeTrove': 3, 'decayBaseRateAndGetBorrowingFee': 3, 'MCR': 3, 'openTrove': 3, 'getNominalICR': 79}, emitting events: {'TroveIndexUpdated': 3, 'CollateralSent': 3, 'TroveUpdated': 6, 'BaseRateUpdated': 3, 'LastFeeOpTimeUpdated': 1, 'TroveSnapshotsUpdated': 3, 'TotalStakesUpdated': 3}; 0xcc721810 called: {'onFlashLoan': 2};","The receiveFlashLoan of 0x4148310f as a customized contract is called and leads to repeated function calling, indicating that this is an attack."
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x67104175 to receiver 0x11a8dc86. The receiver contract is created by sender. Another EOA profits from public contracts. Its summary of balance change: other user collect high value tokens as USDC amount: 355824.49($355824) from other public contracts losing -355819 USD. The summary of calls and events of important addresses: 0x11a8dc86 called: {'5b8b87a8': 1, 'receiveFlashLoan': 1, '75b4b22d': 1}; 0x4d5f47fa called: {'balanceOf': 1, 'scaledBalanceOf': 1, 'burn': 1}, emitting events: {'Transfer': 1, 'Burn': 1}; 0x53d2d9d2 called: {'75b4b22d': 1}; 0x98c23e9d called: {'handleRepayment': 2, 'transferUnderlyingTo': 1, 'scaledTotalSupply': 2, 'mint': 2, 'totalSupply': 1}, emitting events: {'Transfer': 2, 'Mint': 2}; 0x9f54e8ea called: {'9daee0cc': 1, 'executeOperation': 1}; 0xb4e16d01 called: {'getReserves': 1, 'swap': 1}, emitting events: {'Sync': 1, 'Swap': 1};","The receiveFlashLoan of 0x11a8dc86 as a customized contract is called and high profit, indicating that this is suspicious."
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0x2c903f97 to receiver 0xe55607b2. The receiver contract is created by sender. Sender has profit from public contracts. Its summary of balance change: sender collect high value tokens as ETH amount: 50.13($139269) from other public contracts losing -139269 USD. The summary of calls and events of important addresses: 0xe55607b2 called: {'withdrawETH': 1, 'fallback': 1}; 0x2c903f97 called: {'fallback': 1}; 0x7c5c9afe called: {'withdrawAccountBalance': 1}, emitting events: {'WithdrawAccountBalance': 1};",Withdrawing without approval and usage of customized function show this is suspicious.
true,"Here is a summary of a blockchain transaction. Your task is to decide whether it is suspicious: This transaction is sent on eth blockchain by sender 0xce6397e5 to receiver 0xe6c6e86e. The receiver contract is created by sender. Sender has profit from other address. Its summary of balance change: sender and his contract collect high value tokens as ETH amount: 4.68($8405);шайлушай amount: 1.5e-08 from other users losing -8663 USD. The summary of calls and events of important addresses: 0xe6c6e86e called: {'30f5d90e': 1, 'fallback': 1}; 0xce6397e5 called: {'fallback': 1}; 0x977c5fcf called: {'getReserves': 2, 'swap': 1}, emitting events: {'Sync': 1, 'Swap': 1}; 0xc02aaa39 called: {'balanceOf': 4, 'transfer': 1, 'withdraw': 1}, emitting events: {'Transfer': 1, 'Withdrawal': 1};",The call of customized function makes contract transfer other addresses' token indicates that this is suspicious.
